ASPRequiredOptionalDerived,BusinessLine,DataElementLabel,Definition,Definition,ElementNumber,ElementOrder,ExampleValue,FAADS+ElementNumber,FPDSDefinition,FPDSElementLabel,FPDSElementNumber,FSRSElementName,Grouping,Instructions,MaxFieldLength,RequiredOptional,SAMElementName(ReferenceSAMDataDictionaryv7),Unnamed:12,Unnamed:13,ValidDataType,ValidationRules,file,DataCategory
,,USSGL488100_UpwardAdjustmentsOfPriorYearUndeliveredOrdersObligationsUnpaid_CPE,Current Period End,"The amount of upward adjustments during the current fiscal year to obligations that were originally recorded in a prior fiscal year in USSGL account 480100,'Undelivered Orders - Obligations, Unpaid.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",53(A)(i)(d)_CPE,15,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B3,File B - Object Class and Program Activity,Award Amount Information
,,PotentialTotalValueOfAward,,"Total amount that could be obligated on a contract, if the base and all options are exercised.",15,36,,,"It is the mutually agreed upon total contract or order value including all options
(if any). For Indefinite Delivery Vehicles, the estimated value for all orders
expected to be placed against the vehicle. For modifications, the change (positive
or negative, if any) in the mutually agreed upon total contract value.",Base And All Options Value,3A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Amount Information
,,FederalActionObligation,,"Amount of Federal Government’s obligation, de-obligation, or liability, in dollars, for an award transaction.",11(A),34,,,The amount that is obligated or de-obligated by this transaction.,Action Obligation,3C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Amount Information
,,CurrentTotalValueOfAward,,"Total amount obligated to date on a contract, including the base and exercised options.",14(A),35,,,The contract value for the base contract and any options that have been exercised.,Base And Exercised Options Value,3B,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Amount Information
,,FederalActionObligation,,"Amount of Federal government’s obligation, de-obligation, or liability for an award transaction.",11(A),55,500,17,,,,,,"For de-obligations insert the minus sign. For example, -500",20,Conditional per Validation Rule,N/A,,,numeric,"C12, D20",File D2 - Award and Awardee Attributes (Financial Assistance),Award Amount Information
,,NonFederalFundingAmount,,"The amount of the award funded by non-Federal source(s), in dollars. Program Income (as defined in 2 CFR § 200.80) is not included until such time that Program Income is generated and credited to the agreement.",12,56,7500,19,,,,,,,20,Optional,N/A,,,numeric,,File D2 - Award and Awardee Attributes (Financial Assistance),Award Amount Information
,,TotalFundingAmount,,The sum of the FederalActionObligation and the Non-Federal Funding Amount.,13,57,7500,21,,,,,,Derived Field (from the sum of FederalActionObligation and NonFederalFundingAmount).,20,Derived,N/A,,,numeric,,File D2 - Award and Awardee Attributes (Financial Assistance),Award Amount Information
,,FaceValueLoanGuarantee,,The face value of the direct loan or loan guarantee.,14(B),58,7500,47,,,,,,Required for loans. Must be blank otherwise.,20,Conditional per Validation Rule,N/A,,,numeric,D21,File D2 - Award and Awardee Attributes (Financial Assistance),Award Amount Information
			,,OriginalLoanSubsidyCost,,"The estimated long-term cost to the Government of a direct loan or loan guarantee, or modification thereof, calculated on a net present value basis, excluding administrative costs.",11(C),59,7500,48,,,,,,Required for loans. Must be blank otherwise.,20,Conditional per Validation Rule,N/A,,,numeric,D21,File D2 - Award and Awardee Attributes (Financial Assistance),Award Amount Information
,financial assistance,TotalFundingAmount,,The sum of the FederalActionObligation and the Non-Federal Funding Amount.,13,24,,,,,,Amount of sub-award,,,20,Extracted,,,,,,File F - Sub-award Attributes,Award Amount Information
,,GrossOutlayAmountByTAS_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57_CPE,16,-3500,,,,,,,"Crosswalks to SF 133 line 3020, 'Outlays, Gross. ' This is the paid portion of obligations to date. This is the total for the TAS at Current Period End.
",21,Required,,,,numeric,"A14, A17, A18",File A - Appropriations Account,Award Characteristic Information
,,ObligationsIncurredTotalByTAS_CPE,Current Period End,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

For unexpired accounts:
Amount of obligations incurred from the beginning of the current fiscal year to the end of the reporting period, net of refunds received that pertain to obligations incurred in the current year. Include upward adjustments of prior obligations. 

For expired accounts:
Amount of upward adjustments of obligations previously incurred. Upward adjustments are limited by the amount available for adjustments. No new obligations may be incurred against expired or canceled accounts.



",53/57_CPE,17,3500,,,,,,,"Crosswalks to SF 133 line 2190 which is an aggregate of outlay amount total and unpaid obligations amount, for the TAS as of Current Period End. Do not include downward adjustments.",21,Required,,,,numeric,"A4, A17, A19, A22",File A - Appropriations Account,Award Characteristic Information
,,DeobligationsRecoveriesRefundsByTAS_CPE,Current Period End,"The amount of downward adjustments to obligations and outlays resulting from deobligations, recoveries, or refunds collected, summarized at the TAS level. The adjustments are to the obligations and outlays which were made in a prior year.",54(A)_CPE,18,3500,,,,,,,"Aggregate of SF 133 lines: 1021 + 1081 (downward adjustments to unpaid), and 1033 + 1093 (downward adjustments to outlays).  ",21,Required,,,,numeric,,File A - Appropriations Account,Award Characteristic Information
,,UnobligatedBalance_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Unobligated balance means the cumulative amount of budget authority that remains available for obligation under law in unexpired accounts. The term 'expired balances available for adjustment only' refers to unobligated amounts in expired accounts.
 

",54_CPE,19,3500,,,,,,,"This Crosswalks to SF 133 line 2490,'Unobligated Balance, End of Year.' This is the total for the TAS at Current Period End.",21,Required,,,,numeric,"A4, A15, A17",File A - Appropriations Account,Award Characteristic Information
,,StatusOfBudgetaryResourcesTotal_CPE,Current Period End,"This element addresses the status of budgetary resources and includes the total of obligated and unobligated balances, at the reported date. The value should equal the Budget Authority Available Amount Total for the TAS at Current Period End.",53/54/57_CPE,20,3500,,,,,,,Crosswalks to SF 133 line 2500. Aggregate of the sum of Obligations Incurred Total and Unobligated Amount Total. It should provide the total fund amount that has been available for spending under the TAS w/ Sub Account. This is as of Current Period End.,21,Required,,,,numeric,"A4,  A17, A23, A24",File A - Appropriations Account,Award Characteristic Information
,,ObligationsUndeliveredOrdersUnpaidTotal_FYB,Fiscal Year Beg,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",53(A)(i)_FYB,16,-4500,,,,,,,The total outstanding balance of Obligations for undelivered orders that are not yet paid. This is the total for the TAS / Program Activity / Object Class at Current Period End.,21,Required,,,,numeric,"A16, B3",File B - Object Class and Program Activity,Award Characteristic Information
,,ObligationsUndeliveredOrdersUnpaidTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",53(A)(i)_CPE,17,-4500,,,,,,,The total outstanding balance of Obligations for undelivered orders that are not yet paid. This is the total for the TAS / Program Activity / Object Class at Current Period End.,21,Required,,,,numeric,B3,File B - Object Class and Program Activity,Award Characteristic Information
,,USSGL490100_DeliveredOrdersObligationsUnpaid_FYB,Fiscal Year Beg,"The amount accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) This account does not close at year-end.  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",53(A)(ii)(a)_FYB,18,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Fiscal Year Beginning.",21,Required,,,,numeric,"A16, B4",File B - Object Class and Program Activity,Award Characteristic Information
,,USSGL490100_DeliveredOrdersObligationsUnpaid_CPE,Current Period End,"The amount accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) This account does not close at year-end.  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",53(A)(ii)(a)_CPE,19,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B4,File B - Object Class and Program Activity,Award Characteristic Information
